764	q24.13	122500000	127300000	gneg	21
765	q24.21	127300000	131500000	gpos50	21
766	q24.22	131500000	136500000	gneg	21
767	q24.23	136500000	140000000	gpos75	21
768	q24.3	140000000	146274826	gneg	21
769	p24.3	0	2200000	gneg	22
770	p24.2	2200000	4600000	gpos25	22
771	p24.1	4600000	9000000	gneg	22
772	p23	9000000	14100000	gpos75	22
773	p22.3	14100000	16600000	gneg	22
774	p22.2	16600000	18500000	gpos25	22
775	p22.1	18500000	19900000	gneg	22
776	p21.3	19900000	25500000	gpos100	22
777	p21.2	25500000	28100000	gneg	22
778	p21.1	28100000	32800000	gpos100	22
779	p13.3	32800000	36300000	gneg	22
780	p13.2	36300000	38000000	gpos25	22
781	p13.1	38000000	40200000	gneg	22
782	p12	40200000	42400000	gpos50	22
783	p11.2	42400000	46700000	gneg	22
784	p11.1	46700000	51800000	acen	22
785	q11	51800000	60300000	acen	22
786	q12	60300000	70000000	gvar	22
787	q13	70000000	70500000	gneg	22
788	q21.11	70500000	72700000	gpos25	22
789	q21.12	72700000	73100000	gneg	22
790	q21.13	73100000	79300000	gpos50	22
791	q21.2	79300000	80300000	gneg	22
792	q21.31	80300000	83400000	gpos50	22
793	q21.32	83400000	86100000	gneg	22
794	q21.33	86100000	89600000	gpos50	22
795	q22.1	89600000	91000000	gneg	22
796	q22.2	91000000	93000000	gpos25	22
797	q22.31	93000000	95600000	gneg	22
798	q22.32	95600000	98200000	gpos25	22
799	q22.33	98200000	101600000	gneg	22
800	q31.1	101600000	107200000	gpos100	22
801	q31.2	107200000	110300000	gneg	22
802	q31.3	110300000	113900000	gpos25	22
803	q32	113900000	116700000	gneg	22
804	q33.1	116700000	122000000	gpos75	22
805	q33.2	122000000	125800000	gneg	22
806	q33.3	125800000	129300000	gpos25	22
807	q34.11	129300000	132500000	gneg	22
808	q34.12	132500000	132800000	gpos25	22
809	q34.13	132800000	134900000	gneg	22
810	q34.2	134900000	136600000	gpos25	22
811	q34.3	136600000	140273252	gneg	22
812	p22.33	0	4300000	gneg	23
813	p22.32	4300000	6000000	gpos50	23
814	p22.31	6000000	9500000	gneg	23
815	p22.2	9500000	17100000	gpos50	23
816	p22.13	17100000	19200000	gneg	23
817	p22.12	19200000	21800000	gpos50	23
818	p22.11	21800000	24900000	gneg	23
819	p21.3	24900000	29400000	gpos100	23
820	p21.2	29400000	31500000	gneg	23
821	p21.1	31500000	37500000	gpos100	23
822	p11.4	37500000	42300000	gneg	23
823	p11.3	42300000	47300000	gpos75	23
824	p11.23	47300000	49700000	gneg	23
825	p11.22	49700000	54700000	gpos25	23
826	p11.21	54700000	56600000	gneg	23
827	p11.1	56600000	59500000	acen	23
828	q11.1	59500000	65000000	acen	23
829	q11.2	65000000	65100000	gneg	23
830	q12	65100000	67700000	gpos50	23
831	q13.1	67700000	72200000	gneg	23
832	q13.2	72200000	73800000	gpos50	23
833	q13.3	73800000	76000000	gneg	23
834	q21.1	76000000	84500000	gpos100	23
835	q21.2	84500000	86200000	gneg	23
836	q21.31	86200000	91900000	gpos100	23
837	q21.32	91900000	93500000	gneg	23
838	q21.33	93500000	98200000	gpos75	23
839	q22.1	98200000	102500000	gneg	23
840	q22.2	102500000	103600000	gpos50	23
841	q22.3	103600000	110500000	gneg	23
842	q23	110500000	116800000	gpos75	23
843	q24	116800000	120700000	gneg	23
844	q25	120700000	129800000	gpos100	23
845	q26.1	129800000	130300000	gneg	23
846	q26.2	130300000	133500000	gpos25	23
847	q26.3	133500000	137800000	gneg	23
848	q27.1	137800000	140100000	gpos75	23
849	q27.2	140100000	141900000	gneg	23
850	q27.3	141900000	146900000	gpos100	23
851	q28	146900000	154913754	gneg	23
852	p11.32	0	1700000	gneg	24
853	p11.31	1700000	3300000	gpos50	24
854	p11.2	3300000	11200000	gneg	24
855	p11.1	11200000	11300000	acen	24
856	q11.1	11300000	12500000	acen	24
857	q11.21	12500000	14300000	gneg	24
858	q11.221	14300000	19000000	gpos50	24
859	q11.222	19000000	21300000	gneg	24
860	q11.223	21300000	25400000	gpos50	24
861	q11.23	25400000	27200000	gneg	24
862	q12	27200000	57772954	gvar	24
227	q13.2	34100000	35600000	gpos50	6
228	q13.3	35600000	36900000	gneg	6
229	q21.1	36900000	41000000	gpos100	6
230	q21.2	41000000	43200000	gneg	6
231	q21.3	43200000	48300000	gpos100	6
232	q22.1	48300000	52300000	gneg	6
233	q22.2	52300000	54400000	gpos25	6
234	q22.3	54400000	55800000	gneg	6
235	q23.1	55800000	61200000	gpos75	6
236	q23.2	61200000	64000000	gneg	6
237	q23.3	64000000	67000000	gpos50	6
238	q24.1	67000000	69300000	gneg	6
239	q24.2	69300000	72900000	gpos50	6
240	q24.3	72900000	78400000	gneg	6
241	q31.1	78400000	82600000	gpos100	6
242	q31.2	82600000	84000000	gneg	6
243	q31.3	84000000	88900000	gpos100	6
244	q32.11	88900000	90500000	gneg	6
245	q32.12	90500000	92800000	gpos25	6
246	q32.13	92800000	95400000	gneg	6
247	q32.2	95400000	100400000	gpos50	6
248	q32.31	100400000	102200000	gneg	6
249	q32.32	102200000	103000000	gpos50	6
250	q32.33	103000000	106368585	gneg	6
251	p13	0	3500000	gvar	7
252	p12	3500000	7900000	stalk	7
253	p11.2	7900000	14100000	gvar	7
